Title,Genres,Tags,Poster URL,Poster URL
Kaakha Kaakha,"Action, Romance, Thriller","Emotional, Love, Police, Crime",https://i.pinimg.com/736x/f2/11/5e/f2115e816b60efddb53ffe2566d90bfb.jpg,
Anbe Sivam,"Drama, Comedy","Friendship, Life Lessons, Feel-good",https://i.pinimg.com/736x/f7/8f/81/f78f81ce8600a1f6faf006a3cadadcfc.jpg,
Vikram Vedha,"Action, Crime, Thriller","Dark, Intense, Suspense",https://i.pinimg.com/736x/79/37/43/7937436ac1824909d7c5a9becc4d9d50.jpg,
96,"Romance, Drama","Emotional, Love, Nostalgia",https://i.pinimg.com/736x/c8/df/6d/c8df6d9f228027c77ccb7ee0149b92ee.jpg,
Pariyerum Perumal,"Drama, Social","Emotional, Social Justice, Heartwarming",https://i.pinimg.com/736x/08/98/24/089824c2d99936efd18fe9e17084fd66.jpg,
Super Deluxe,"Comedy, Drama, Thriller","Dark, Intense, Thought-provoking",https://i.pinimg.com/736x/69/37/fb/6937fb9849ce5195bc0ea4cfecfa7152.jpg,
